speaker1,speake2,times
Theseus,Hippolyta,10
Hippolyta,Theseus,12
Theseus,Egeus,5
Egeus,Theseus,4
Theseus,Hermia,4
Hermia,Theseus,4
Theseus,Demetrius,10
Demetrius,Lysander,11
Lysander,Egeus,2
Egeus,Lysander,2
Lysander,Theseus,5
Lysander,Hermia,19
Hermia,Lysander,17
Hermia,Helena,17
Helena,Hermia,14
Lysander,Helena,7
Quince,Bottom,23
Bottom,Quince,25
Quince,Flute,7
Flute,Quince,7
Quince,Starveling,2
Starveling,Quince,1
Quince,Snout,3
Snout,Quince,1
Quince,Snug,1
Snug,Quince,1
Puck,Fairy,3
Fairy,Puck,2
Fairy,Oberon,1
Oberon,Titania,11
Titania,Oberon,10
Oberon,Puck,16
Puck,Oberon,13
Oberon,Demetrius,1
Demetrius,Helena,11
Helena,Demetrius,9
Helena,Oberon,1
Titania,First Fairy,1
First Fairy,Chorus,2
Chorus,First Fairy,1
Chorus,Second Fairy,1
Second Fairy,Oberon,1
Oberon,Lysander,1
Hermia,Puck,2
Puck,Helena,1
Helena,Lysander,10
Bottom,Snout,4
Snout,Starveling,2
Starveling,Bottom,2
Snout,Bottom,4
Quince,Puck,2
Puck,Quince,1
Bottom,Puck,1
Puck,Flute,1
Flute,Bottom,7
Puck,Bottom,1
Bottom,Titania,9
Titania,Bottom,7
Titania,Peaseblossom,2
Peaseblossom,Cobweb,2
Cobweb,Mote,2
Mote,Mustardseed,2
Mustardseed,Titania,1
Mustardseed,Bottom,4
Bottom,Cobweb,2
Cobweb,Bottom,2
Bottom,Peaseblossom,2
Peaseblossom,Bottom,2
Bottom,Mustardseed,3
Puck,Demetrius,5
Demetrius,Hermia,10
Hermia,Demetrius,6
Demetrius,Oberon,1
Puck,Lysander,4
Lysander,Demetrius,11
Hermia,Oberon,1
Lysander,Puck,3
Demetrius,Puck,3
Helena,Puck,1
Puck,Hermia,1
Titania,Puck,1
Titania,Theseus,1
Theseus,Lysander,5
Egeus,Demetrius,1
Demetrius,Theseus,5
Demetrius,Bottom,2
Starveling,Flute,1
Flute,Snug,2
Snug,Flute,1
Theseus,Philostrate,6
Philostrate,Theseus,6
Lysander,Hippolyta,1
Theseus,Quince,1
Quince,Theseus,1
Demetrius,Snout,1
Snout,Theseus,2
Theseus,Bottom,2
Bottom,Theseus,3
Bottom,Flute,6
Flute,Snout,1
Demetrius,Hippolyta,2
Theseus,Snug,1
Snug,Theseus,1
Theseus,Starveling,2
Starveling,Demetrius,2
Starveling,Theseus,1
Lysander,Starveling,1
Demetrius,Flute,2
Snug,Demetrius,1
Lysander,Bottom,1
Hippolyta,Bottom,1
Bottom,Demetrius,1
Hippolyta,Demetrius,1
Flute,Theseus,1
Theseus,Puck,1
